"Site","Vial","Date","CW","CL","TL","Notes","outliers"
"ANA","001",2021-06-09,2.7,6,7.8,NA,0.582803612466393
"ANA","002",2021-06-09,2.6,5.8,7.1,NA,0.423500077201697
"ANA","003",2021-06-09,2.8,6.2,7.8,NA,0.617915784655846
"ANA","004",2021-06-09,2.7,5.2,6.6,NA,0.962962404699845
"ANA","005",2021-06-09,2.4,5.7,7,NA,0.908568546230537
"ANA","006",2021-06-09,2.6,5.3,6.8,NA,0.955551128741
"ANA","007",2021-06-09,2.2,5.4,6.9,NA,1.53870978961649
"ANA","008",2021-06-09,2.5,5.3,6.6,NA,1.2465017274894
"ANA","009",2021-06-09,2.6,6.1,7.6,NA,0.720465110864663
"ANA","010",2021-06-09,2.3,5.5,6.8,NA,1.34459191933605
"ANA","011",2021-06-14,2.6,6.2,7,NA,0.75483374273777
"ANA","012",2021-06-14,2.7,6.5,7.5,NA,0.776116432712668
"ANA","013",2021-06-14,2.3,5.5,6.6,NA,1.4575046631004
"ANA","014",2021-06-14,2.5,5.7,7.1,NA,0.67407431936431
"ANA","015",2021-06-14,2.5,5.7,7.3,NA,0.599329330905419
"ANA","016",2021-06-14,2.4,6.1,7,NA,1.03837306552732
"ANA","017",2021-06-14,2.5,6.3,7.2,NA,0.89249524113604
"ANA","018",2021-06-14,2.5,5.8,6.7,NA,0.827363419714438
"ANA","019",2021-06-14,2.7,6.8,7.8,NA,1.16309470989486
"ANA","020",2021-06-14,2.5,6.1,6.9,NA,0.916791582425439
"ANA","021",2021-06-23,2.4,5.2,6.8,NA,1.38416322588767
"ANA","022",2021-06-23,2.6,6,7.3,NA,0.478559608039592
"ANA","023",2021-06-23,2.6,6,7.1,NA,0.553304596498483
"ANA","024",2021-06-23,2.4,6,6.7,NA,1.13520579399528
"ANA","025",2021-06-23,2.4,5.7,7.2,NA,0.795655802466194
"ANA","026",2021-06-23,2.4,6,6.7,NA,1.13520579399528
"ANA","027",2021-06-23,2.6,6,7,NA,0.609760968380654
"ANA","028",2021-06-23,2.4,5.8,6.8,NA,0.948944902816323
"ANA","029",2021-06-23,2.5,5.7,6.8,NA,0.843443435010824
"ANA","030",2021-06-23,2.9,6.5,7.9,NA,1.07001917305775
"ANA","031",2021-06-28,3.1,7.1,8.3,NA,2.08713869362589
"ANA","032",2021-06-28,2.3,5.7,6.8,NA,1.19951914497894
"ANA","033",2021-06-28,2.3,6.2,6.8,NA,1.40186005145428
"ANA","034",2021-06-28,2.4,5.8,6.8,NA,0.948944902816323
"ANA","035",2021-06-28,2.2,5.5,6.3,NA,1.80491163373096
"ANA","036",2021-06-28,2.5,6.4,7.4,NA,1.00319938362005
"ANA","037",2021-06-28,2.3,5.9,6.8,NA,1.18425088991861
"ANA","038",2021-06-28,2.3,5.8,7.2,NA,0.901157270271693
"ANA","039",2021-06-28,2.5,5.7,6.9,NA,0.786987063128653
"ANA","040",2021-06-28,2.3,5.8,6.7,NA,1.18343912968255
"ANA","041",2021-07-07,2.3,5.7,6.6,NA,1.31243188874328
"ANA","042",2021-07-07,2.2,5.2,6.7,NA,1.79669530773795
"ANA","043",2021-07-07,2.4,5.9,6.9,NA,0.94975666305238
"ANA","044",2021-07-07,2.5,5.7,6.9,NA,0.786987063128653
"ANA","045",2021-07-07,2.3,5.6,6.8,NA,1.27205553215749
"ANA","046",2021-07-07,2.3,5.3,6.3,NA,1.77194655310402
"ANA","047",2021-07-07,2.5,6,7,NA,0.78779882336471
"ANA","048",2021-07-07,2.6,5.6,6.7,NA,0.794398339087498
"ANA","049",2021-07-07,2.2,5.4,6.4,NA,1.82099164902735
"ANA","050",2021-07-07,2.3,5.6,6.4,NA,1.49788101968618
"ANA","051",2021-07-12,2.6,5.5,6.4,NA,1.03630384191257
"ANA","052",2021-07-12,2.5,5.5,6.5,NA,1.15788532501445
"ANA","053",2021-07-12,2.5,5.5,6.5,NA,1.15788532501445
"ANA","054",2021-07-12,2.4,5.7,7,NA,0.908568546230537
"ANA","055",2021-07-12,2.5,5.5,6.5,NA,1.15788532501445
"ANA","056",2021-07-12,2.4,5.5,6.2,NA,1.50529229564502
"ANA","057",2021-07-12,2.7,6.3,7.7,NA,0.743956402119895
"ANA","058",2021-07-12,2.1,5.3,6.3,NA,2.12802226307214
"ANA","059",2021-07-12,2.4,5.5,6.7,NA,1.22301043623417
"ANA","060",2021-07-12,2.5,5.7,6.7,NA,0.899899806892995
"ANA","061",2021-07-21,2.7,6.8,8,NA,1.2760074536592
"ANA","062",2021-07-21,2.2,5.5,6.2,NA,1.86136800561314
"ANA","063",2021-07-21,2.4,5.5,6.4,NA,1.39237955188068
"ANA","064",2021-07-21,2.3,5.5,6.3,NA,1.62687377874691
"ANA","065",2021-07-21,2.3,5.5,6.7,NA,1.40104829121822
"ANA","066",2021-07-21,2.4,5.3,6.7,NA,1.36808321059128
"ANA","067",2021-07-21,2.4,5.6,6.6,NA,1.20693042093778
"ANA","068",2021-07-21,2.3,5.5,6.6,NA,1.4575046631004
"ANA","069",2021-07-21,2.5,5.7,7.2,NA,0.617617947482138
"ANA","070",2021-07-21,2.5,5.5,6.9,NA,0.932059837485768
"ANA","071",2021-07-26,2.4,5.4,6.8,NA,1.23909045153055
"ANA","072",2021-07-26,2.5,5.5,6.9,NA,0.932059837485768
"ANA","073",2021-07-26,2.1,4.7,6,NA,2.73260970179
"ANA","074",2021-07-26,2.5,5.6,6.8,NA,0.915979822189382
"ANA","075",2021-07-26,2.5,5.7,6.9,NA,0.786987063128653
"ANA","076",2021-07-26,2.4,5.3,6.6,NA,1.42453958247345
"ANA","077",2021-07-26,2.3,5.2,6.7,NA,1.6186574527539
"ANA","078",2021-07-26,2.3,4.9,6,NA,2.23146121746477
"ANA","079",2021-07-26,2.3,5.1,6.7,NA,1.69119383993245
"ANA","080",2021-07-26,2.4,5.7,7,NA,0.908568546230537
"ANA","081",2021-08-02,2.4,5.4,6.9,NA,1.18263407964838
"ANA","082",2021-08-05,2.1,5,6.2,NA,2.40208779648998
"ANA","083",2021-08-05,2.2,5,6.5,NA,2.05468082585941
"ANA","084",2021-08-05,2.3,4.9,6.6,NA,1.89272298617174
"ANA","085",2021-08-05,2.1,4.9,6.2,NA,2.47462418366854
"ANA","086",2021-08-05,2.3,4.7,6.2,NA,2.26362124805754
"ANA","087",2021-08-05,2.2,5,6.3,NA,2.16759356962375
"ANA","088",2021-08-05,2.2,4.8,6.1,NA,2.42557908774521
"ANA","089",2021-08-05,2.3,4.7,6.2,NA,2.26362124805754
"ANA","090",2021-08-05,2.2,5.1,6.6,NA,1.92568806679868
"ANA","091",2021-08-09,2.2,5.2,6.7,NA,1.79669530773795
"ANA","092",2021-08-09,2.1,4.9,6.6,NA,2.24879869613985
"ANA","093",2021-08-09,2.2,4.8,6.4,NA,2.2562099720987
"ANA","094",2021-08-09,2.2,4.9,6.4,NA,2.18367358492014
"ANA","095",2021-08-09,2.2,5.1,6.5,NA,1.98214443868085
"ANA","096",2021-08-09,2.3,5.3,6.6,NA,1.60257743745751
"ANA","097",2021-08-09,2.3,5.1,6.9,NA,1.57828109616811
"ANA","098",2021-08-09,2.2,4.8,5.8,NA,2.59494820339173
"ANA","099",2021-08-09,2.3,5.3,6.6,NA,1.60257743745751
"ANA","100",2021-08-09,2.1,4.9,6,NA,2.58753692743288
"ANA","101",2021-08-16,2.1,4.8,6.2,NA,2.5471605708471
"COR","001",2021-05-24,3.1,6.7,8.4,NA,1.85344951679383
"COR","002",2021-05-24,3.3,7.1,8.7,NA,2.66903989112269
"COR","003",2021-05-24,3.3,7.4,8.8,NA,2.94310542454053
"COR","004",2021-05-24,3.3,7.3,8.7,NA,2.8141126654798
"COR","005",2021-05-24,3.3,7.4,8.3,NA,2.66082356512968
"COR","006",2021-05-24,2.4,5.8,7,NA,0.83603215905198
"COR","007",2021-05-24,2.4,5.4,7,NA,1.12617770776621
"COR","008",2021-05-24,2.6,5.7,7.4,NA,0.477747847803535
"COR","009",2021-05-24,2.5,5.5,7.2,NA,0.762690721839254
"COR","010",2021-05-24,2.4,5.2,6.7,NA,1.44061959776984
"COR","011",2021-06-09,2.3,5.8,6.6,NA,1.23989550156472
"COR","012",2021-06-09,3.1,7.3,8.7,NA,2.45803695551169
"COR","013",2021-06-09,3.3,7.3,8.3,NA,2.58828717795112
"COR","014",2021-06-09,3.3,7.5,8.8,NA,3.01564181171909
"COR","015",2021-06-09,3.6,7.8,8.8,NA,3.76736453820693
"COR","016",2021-06-09,2.3,5.8,6.8,NA,1.12698275780038
"COR","017",2021-06-09,2.6,5.9,7.1,NA,0.480768209319925
"COR","018",2021-06-09,2.3,5.7,6.7,NA,1.25597551686111
"COR","019",2021-06-09,2.4,5.7,6.9,NA,0.965024918112709
"COR","020",2021-06-09,3.3,7.2,8.6,NA,2.68511990641907
"COR","021",2021-06-14,2.6,6.2,7.2,NA,0.641920998973427
"COR","022",2021-06-14,2.5,6.2,7.4,NA,0.858126609262935
"COR","023",2021-06-14,2.5,6.3,7.5,NA,0.987119368323664
"COR","024",2021-06-14,2.2,5.9,6.7,NA,1.41874511678483
"COR","025",2021-06-14,2.4,5.7,6.8,NA,1.02148128999488
"COR","026",2021-06-14,2.5,5.7,6.6,NA,0.956356178775167
"COR","027",2021-06-14,2.4,6.1,7.1,NA,0.981916693645152
"COR","028",2021-06-14,2.8,6.7,8.1,NA,1.14996683619515
"COR","029",2021-06-14,2.6,5.5,6.6,NA,0.923391098148227
"COR","030",2021-06-14,2.3,5.8,6.7,NA,1.18343912968255
"COR","031",2021-06-23,3.2,7.1,8.4,NA,2.32163292049212
"COR","032",2021-06-23,2.2,5.4,6.7,NA,1.65162253338084
"COR","033",2021-06-23,2.6,5.8,7.1,NA,0.423500077201697
"COR","034",2021-06-23,3.2,7,8.4,NA,2.24909653331356
"COR","035",2021-06-23,3.1,7.1,8.4,NA,2.14359506550806
"COR","036",2021-06-23,2.3,5.4,6.6,NA,1.53004105027895
"COR","037",2021-06-23,2.3,5.3,6.6,NA,1.60257743745751
"COR","038",2021-06-23,2.5,5.6,6.7,NA,0.972436194071554
"COR","039",2021-06-23,3.3,7.3,8.7,NA,2.8141126654798
"COR","040",2021-06-23,2.5,5.5,6.5,NA,1.15788532501445
"COR","041",2021-06-28,3,7.5,8.3,NA,2.19924638735607
"COR","042",2021-06-28,3,6.8,8.2,NA,1.63503530522399
"COR","043",2021-06-28,2.5,6.1,7.3,NA,0.729133850202205
"COR","044",2021-06-28,2.8,7,8.3,NA,1.48048874149517
"COR","045",2021-06-28,3.1,6.8,8.3,NA,1.86952953209022
"COR","046",2021-06-28,2.4,5.8,6.5,NA,1.11831401846284
"COR","047",2021-06-28,3.2,6.8,8.3,NA,2.04756738707427
"COR","048",2021-06-28,2.4,6,7.1,NA,0.909380306466595
"COR","049",2021-06-28,2.4,6.1,7.1,NA,0.981916693645152
"COR","050",2021-06-28,2.4,5.4,6.6,NA,1.3520031952949
"COR","051",2021-07-07,3.2,7.1,8.4,NA,2.32163292049212
"COR","052",2021-07-07,2.3,5.2,6.5,NA,1.73157019651824
"COR","053",2021-07-07,2.3,5.2,6.2,NA,1.90093931216475
"COR","054",2021-07-07,2.5,5.5,6.4,NA,1.21434169689663
"COR","055",2021-07-07,2.4,5.2,6.5,NA,1.55353234153418
"COR","056",2021-07-07,2.7,5.7,7.3,NA,0.243253620937307
"COR","057",2021-07-07,2.5,5.7,6.7,NA,0.899899806892995
"COR","058",2021-07-07,2.4,5.7,6.7,NA,1.07793766187705
"COR","059",2021-07-07,2.4,5.8,7.1,NA,0.779575787169808
"COR","060",2021-07-07,2.4,5.4,6.9,NA,1.18263407964838
"COR","061",2021-07-12,2.5,5.6,6.4,NA,1.14180530971807
"COR","062",2021-07-12,2.5,5.1,6.4,NA,1.50448724561086
"COR","063",2021-07-12,2.7,5.8,6.8,NA,0.414831337864155
"COR","064",2021-07-12,2.5,5.9,7.1,NA,0.658806064303981
"COR","065",2021-07-12,2.5,5.2,6.4,NA,1.4319508584323
"COR","066",2021-07-12,2.5,6.2,7.2,NA,0.819958853957483
"COR","067",2021-07-12,2.4,5.5,6.7,NA,1.22301043623417
"COR","068",2021-07-12,2.4,5.5,6.5,NA,1.33592317999851
"COR","069",2021-07-12,2.2,5.3,6.7,NA,1.72415892055939
"COR","070",2021-07-12,2.3,5.2,7.1,NA,1.39283196522521
"COR","071",2021-07-21,3,7.7,8.8,NA,2.62660102112404
"COR","072",2021-07-21,2.8,6.8,8,NA,1.16604685149154
"COR","073",2021-07-21,2.4,5.2,6.5,NA,1.55353234153418
"COR","074",2021-07-21,2.4,5.2,6.3,NA,1.66644508529853
"COR","075",2021-07-21,2.4,5.5,6.8,NA,1.166554064352
"COR","076",2021-07-21,2.5,5.5,6.5,NA,1.15788532501445
"COR","077",2021-07-21,2.2,5.4,6.1,NA,1.99036076467386
"COR","078",2021-07-21,2.4,5.6,6.4,NA,1.31984316470212
"COR","079",2021-07-21,2.3,5.6,6.4,NA,1.49788101968618
"COR","080",2021-07-21,2.3,5.4,6.7,NA,1.47358467839678
"COR","081",2021-07-26,2.3,5.6,6.8,NA,1.27205553215749
"COR","082",2021-07-26,2.6,6,7.4,NA,0.535015979921763
"COR","083",2021-07-26,2.3,5,6.4,NA,1.93309934275753
"COR","084",2021-07-26,2.3,5.1,6.4,NA,1.86056295557897
"COR","085",2021-07-26,2.3,5.1,6.4,NA,1.86056295557897
"COR","086",2021-07-26,2.4,5.2,6.7,NA,1.44061959776984
"COR","087",2021-07-26,2.5,5.1,6.7,NA,1.33511812996434
"COR","088",2021-07-26,2.3,5,6.5,NA,1.87664297087536
"COR","089",2021-07-26,2.4,5.1,6.4,NA,1.68252510059491
"COR","090",2021-07-26,2.3,5.1,6.4,NA,1.86056295557897
"COR","091",2021-08-02,2.1,5.2,6.3,NA,2.20055865025069
"COR","092",2021-08-02,2.2,5.2,6.2,NA,2.07897716714881
"COR","093",2021-08-02,2.3,5.2,6.2,NA,1.90093931216475
"COR","094",2021-08-02,2.2,5.2,6.4,NA,1.96606442338447
"COR","095",2021-08-02,2.4,5.3,6.6,NA,1.42453958247345
"COR","096",2021-08-02,2.2,5.1,6.2,NA,2.15151355432737
"COR","097",2021-08-02,2.2,5.2,6.2,NA,2.07897716714881
"COR","098",2021-08-02,2.3,5.5,6.6,NA,1.4575046631004
"COR","099",2021-08-02,2.1,4.6,5.9,NA,2.86160246085073
"COR","100",2021-08-02,2.4,5.4,6.4,NA,1.46491593905924
"COR","101",2021-08-09,2.5,5.4,6.9,NA,1.00459622466433
"COR","102",2021-08-09,2.3,4.9,6.5,NA,1.94917935805391
"COR","103",2021-08-09,2.3,5.2,6.4,NA,1.78802656840041
"COR","104",2021-08-09,2.4,4.9,6.2,NA,1.94051061871637
"COR","105",2021-08-09,2.4,5.3,7,NA,1.19871409494477
"COR","106",2021-08-09,2.2,4.8,6.2,NA,2.36912271586304
"COR","107",2021-08-09,2.2,4.8,6.4,NA,2.2562099720987
"COR","108",2021-08-09,2.3,5.4,7.1,NA,1.2477591908681
"COR","109",2021-08-09,2.5,5.6,7,NA,0.80306707842504
"COR","110",2021-08-09,2.1,4.9,6,NA,2.58753692743288
"COR","111",2021-08-16,2.2,4.9,6.3,NA,2.24012995680231
"COR","112",2021-08-16,2,4.7,6,NA,2.91064755677405
"COR","113",2021-08-16,2.3,5.1,6.7,NA,1.69119383993245
"COR","114",2021-08-16,2.1,5.2,6.8,NA,1.91827679083984
"COR","115",2021-08-16,2.1,5,6.1,NA,2.45854416837215
"COR","116",2021-08-16,2.1,5,6.2,NA,2.40208779648998
"COR","117",2021-08-16,2.1,4.9,6.5,NA,2.30525506802202
"COR","118",2021-08-16,2,4.7,6.2,NA,2.79773481300971
"COR","119",2021-08-16,2,4.8,6,NA,2.8381111695955
"COR","120",2021-08-16,2.1,4.9,6.4,NA,2.3617114399042
"COR","121",2021-08-23,2.2,5.3,6.6,NA,1.78061529244157
"COR","122",2021-08-23,2.2,5.2,6.2,NA,2.07897716714881
"COR","123",2021-08-23,2.3,5.2,6.2,NA,1.90093931216475
"COR","124",2021-08-23,2.4,5.6,6.5,NA,1.26338679281995
"COR","125",2021-08-23,2.6,5.8,7.3,NA,0.348755088742805
"COR","126",2021-08-23,2.1,5.4,6.4,NA,1.99902950401141
